zone,area,node_id,households,residential,population,emp_govt,emp_health,emp_manu,emp_ofc,emp_oth,emp_retl,emp_tot,average_hh_size,pct_inc_1,pct_inc_4,pct_ag_1,pct_ag_3,pct_hh_ag_1,pct_hh_ag_3,k12_enroll,unv_enroll,num_parks,park_area,mixed_use
649,1.1679,90649,1000,1417,2789,0,6,477.5,3183.3333,9,0,223,2.789,0.2388,0.2612,0.0007,0.009,0.0007,0.009,0,0,1,0.1168,182.3385
652,2.0544,90652,293,504,342,162,39,937.5,6250.0,64,10,654,1.1672,0.1566,0.3416,0.0263,0.1842,0.0263,0.1842,541,0,1,0.2054,202.3464
658,1.3579,90658,31,31,33,0,17,1155.0,7700.0,0,0,487,1.0645,0.256,0.2077,0.0,0.0303,0.0,0.0303,0,0,2,0.2716,29.1448
660,0.5687,90660,23,29,30,0,3,275.0,1833.3333,0,1,119,1.3043,0.256,0.2077,0.0,0.3333,0.0,0.3333,0,0,0,0.0,19.2746
661,1.3778,90661,41,47,113,0,8,607.5,4050.0,1,0,275,2.7561,0.256,0.2077,0.0177,0.0885,0.0177,0.0885,0,0,0,0.0,35.6804
663,0.3985,90663,46,50,55,0,1,67.5,450.0,9,0,51,1.1957,0.256,0.2077,0.0182,0.2,0.0182,0.2,0,0,2,0.0797,24.1856
690,0.4772,90690,18,21,33,0,26,0.0,0.0,20,3,57,1.8333,0.1263,0.3032,0.0606,0.1212,0.0606,0.1212,0,0,2,0.0954,13.68
691,0.1191,90691,1,1,2,0,0,0.0,0.0,0,0,0,2.0,0.1263,0.3032,0.5,0.0,0.5,0.0,0,0,1,0.0119,0.0
710,4.9393,90710,583,814,1204,15,51,0.0,0.0,20,40,182,2.0652,0.2169,0.3877,0.0066,0.0814,0.0066,0.0814,0,0,0,0.0,138.7007
714,0.7175,90714,51,78,121,0,0,0.0,0.0,0,5,5,2.3725,0.2169,0.3877,0.0165,0.0248,0.0165,0.0248,0,0,2,0.1435,4.5536
736,0.0129,90736,50,70,81,0,0,0.0,0.0,2,0,2,1.62,0.1758,0.1838,0.0,0.0247,0.0,0.0247,0,0,2,0.0026,1.9231
741,0.0227,90741,78,131,185,0,0,0.0,0.0,0,0,0,2.3718,0.1758,0.1838,0.027,0.0541,0.027,0.0541,0,0,2,0.0045,0.0
759,0.0179,90759,59,71,157,0,0,0.0,0.0,0,0,0,2.661,0.25,0.1276,0.0,0.1083,0.0,0.1083,0,0,0,0.0,0.0
1079,1.8167,91079,88,165,91,0,1,882.5,5883.3333,4,3,403,1.0341,0.2082,0.1778,0.033,0.0659,0.033,0.0659,0,0,0,0.0,72.2281
1080,0.1031,91080,344,353,860,76,74,0.0,0.0,48,44,253,2.5,0.2082,0.1778,0.0279,0.0558,0.0279,0.0558,0,0,1,0.0103,145.7822
1081,0.2211,91081,255,425,759,0,293,125.0,833.3333,29,8,383,2.9765,0.2082,0.1778,0.0119,0.0277,0.0119,0.0277,0,0,1,0.0221,153.0799
1084,0.6544,91084,9,12,22,0,1,340.0,2266.6667,6,2,153,2.4444,0.2082,0.1778,0.0,0.0909,0.0,0.0909,0,0,1,0.0654,8.5
1085,1.8231,91085,43,67,67,25,0,860.0,5733.3333,3,0,399,1.5581,0.0942,0.2784,0.0149,0.0746,0.0149,0.0746,0,0,0,0.0,38.8167
1088,2.4439,91088,139,158,358,0,0,905.0,6033.3333,6,0,426,2.5755,0.0671,0.525,0.0,0.0419,0.0,0.0419,0,0,0,0.0,104.8035
1126,2.9353,91126,736,881,887,215,60,547.5,3650.0,23,10,550,1.2052,0.1162,0.2324,0.009,0.2311,0.009,0.2311,1578,0,1,0.2935,314.7745
1127,2.6922,91127,491,884,930,53,180,260.0,1733.3333,179,33,576,1.8941,0.2905,0.1419,0.0075,0.0903,0.0075,0.0903,109,0,1,0.2692,265.0572
1128,1.2967,91128,294,578,828,0,10,72.5,483.3333,10,3,76,2.8163,0.0884,0.4116,0.006,0.0543,0.006,0.0543,0,0,2,0.2593,60.3892
1130,0.2445,91130,77,101,122,0,0,0.0,0.0,0,0,0,1.5844,0.0884,0.4116,0.0,0.0574,0.0,0.0574,0,0,0,0.0,0.0
1132,1.0708,91132,379,641,597,10,57,0.0,0.0,207,95,385,1.5752,0.1255,0.4366,0.005,0.0838,0.005,0.0838,525,0,1,0.1071,190.9882
1133,0.5305,91133,178,333,224,0,38,0.0,0.0,7,3,53,1.2584,0.1255,0.4366,0.0045,0.1473,0.0045,0.1473,0,0,2,0.1061,40.8398
